"mlb_id","first_name","last_name","birthdate","bats","throws","weight","position","draft_year","height_inches"
"641857","Ryan","McMahon","1994-12-14","L","R","211","3B","2013","74"
"680474","Maxwell","Schuemann","1997-06-11","R","R","198","SS","2018","72"
"641355","Cody","Bellinger","1995-07-13","L","L","204","LF","2013","75"
"687396","Brent","Headrick","1997-12-17","L","L","235","P","2019","78"
"621112","Paul","Blackburn","1993-12-04","R","R","196","P","2012","73"
"683011","Anthony","Volpe","2001-04-28","R","R","197","SS","2019","70"
"693645","Cameron","Schlittler","2001-02-05","R","R","215","P","2022","78"
"670280","David","Bednar","1994-10-10","L","R","250","P","2016","73"
"592450","Aaron","Judge","1992-04-26","R","R","282","RF","2013","79"
"669224","Austin","Wells","1999-07-12","L","R","220","C","2020","73"
"701542","William","Warren","1999-06-16","R","R","200","P","2021","74"
"666808","Camilo","Doval","1997-07-04","R","R","205","P",,"74"
"641555","Juan","Escarra","1995-04-24","L","R","220","C","2017","74"
"700250","Benjamin","Rice","1999-02-22","L","R","228","1B","2021","74"
"677960","Ryan","Weathers","1999-12-17","R","L","230","P","2018","73"
"656234","Jacob","Bird","1995-12-04","R","R","215","P","2018","75"
"518585","Fernando","Cruz","1990-03-28","R","R","237","P","2007","74"
"657612","Timothy","Hill","1990-02-10","R","L","210","P","2014","76"
"665862","Jasrado","Chisholm","1998-02-01","L","R","184","2B",,"71"
"607074","Carlos","Rodón","1992-12-10","L","L","255","P","2014","74"
"642232","Ryan","Yarbrough","1991-12-31","R","L","205","P","2014","77"
"502671","Paul","Goldschmidt","1987-09-10","R","R","225","1B","2009","74"
"663757","Trenton","Grisham","1996-11-01","L","L","221","CF","2015","70"
"642708","German","Rosario","1995-11-20","R","R","227","3B",,"73"
